target,model,selection_MAE_mean,selection_MAE_std,selection_RMSE_mean,selection_R2_mean,selection_Q95_AE_mean,n_selection_splits
HOMO,RandomForest,0.09679683429258465,0.021741644398171927,0.14325718983105357,0.8535188081556535,0.2952077168804762,5
HOMO,XGBoost,0.0991839246513537,0.018820759085592956,0.14590630659624007,0.8486966217915354,0.29999285808837833,5
HOMO,KernelRidge,0.10362050403755063,0.018723312313341685,0.15857320212196155,0.8200881461768731,0.33161059622015754,5
HOMO,ElasticNet,0.11848616796919927,0.017127300616251,0.1621582551561294,0.8119793684556365,0.3268757888846186,5
HOMO,LinearRegression,0.11854571209910274,0.016487435728676236,0.16773102496593573,0.7967177289872815,0.3437834084432868,5
HOMO,Ridge,0.11901903209931079,0.017572999431020586,0.16245171330255753,0.8117805685364878,0.32482024468384035,5
LUMO,XGBoost,0.13239351990654838,0.02635861797526991,0.24894110081844767,0.8615414869547949,0.5245054092224114,5
LUMO,RandomForest,0.14101400752454135,0.016058420454776894,0.24641839967854318,0.8673375550126263,0.42836475982710553,5
LUMO,Ridge,0.15217251578991617,0.015297941098169019,0.2537859731268188,0.8594479287296979,0.38898637662955615,5
LUMO,KernelRidge,0.15232527743156118,0.015498578826790427,0.2547791386937865,0.8585564347850096,0.39100572523471466,5
LUMO,ElasticNet,0.1572735088782191,0.015143860569277396,0.2623496816790333,0.8514639816894615,0.41851304541779344,5
LUMO,LinearRegression,0.18406226165456957,0.0049110254139603194,0.280701806308183,0.8332546441875677,0.48885146776906907,5
