target,model,selection_MAE_mean,selection_MAE_std,selection_RMSE_mean,selection_R2_mean,selection_Q95_AE_mean,n_selection_splits
HOMO,XGBoost,0.09169839784335675,0.01731567941889072,0.133523846349131,0.873222637471418,0.299090246184692,5
HOMO,RandomForest,0.09212888222683983,0.020990580390966927,0.13686726889795425,0.8691481251225263,0.30078366573956783,5
HOMO,KernelRidge,0.10042669793167333,0.01819974264859866,0.1526609811004836,0.8347122073364812,0.3342461443160089,5
HOMO,LinearRegression,0.11665248214545598,0.018099583419192333,0.16411706442534787,0.80833658751217,0.3466749425192438,5
HOMO,Ridge,0.11782636062842433,0.017814715908627266,0.16501739952699307,0.8061966496665933,0.34611661308622044,5
HOMO,ElasticNet,0.11807930799943496,0.01774581030322842,0.16513226658599583,0.8059872485370606,0.34590750108973334,5
LUMO,XGBoost,0.11385488608601887,0.014405210418608398,0.20381395675833178,0.9036401370035207,0.3115780725634766,5
LUMO,RandomForest,0.11873132959050718,0.009742483348888454,0.20861613049055885,0.901134628252447,0.33326539185821946,5
LUMO,KernelRidge,0.1296201562402507,0.012542961409548336,0.22562947096536448,0.8875968268753356,0.35891334817619397,5
LUMO,Ridge,0.1344832102550651,0.007949874204751496,0.22268204210651107,0.888193428113037,0.34793411913835637,5
LUMO,ElasticNet,0.13731081782153437,0.0054765816442876114,0.22418531844129266,0.8860435775009302,0.36153020467035635,5
LUMO,LinearRegression,0.16305456070370877,0.008715108313087031,0.24924348044310213,0.8610042869718825,0.4176985145413917,5
