split_level,repeat,split_role,sample_id,group_id,Folder,File,SMILES
training_only_within_group_selection,1,train,Group 1/2.log,Group 1,Group 1,2.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(Br)=CC(CC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br
training_only_within_group_selection,1,train,Group 1/3.log,Group 1,Group 1,3.log,OC1=C(CC2=CC(C(C)(C)C)=CC3=C2O)C=C(C(C)(C)C)C=C1CC4=C(O)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC8=CC(C(C)(C)C)=CC(CC(C=C(C(C)(C)C)C=C9C3)=C9O)=C8O)=C7O)=C6O)=C5O)=CC(C(C)(C)C)=C4
training_only_within_group_selection,1,train,Group 1/5.log,Group 1,Group 1,5.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O)C=CC=C1SC5=C(O)C4=CC=C5
training_only_within_group_selection,1,train,Group 1/7.log,Group 1,Group 1,7.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([NH3+])=CC(SC1=C5)=C4O)=CC([NH3])=C3)=CC([NH3])=C2)O)C=C5[NH3].Cl[Sn-](Cl)(Cl)(Cl)Cl.Cl[Sn-](Cl)(Cl)([Cl+])Cl.Cl[Sn](Cl)(Cl)(Cl)Cl.Cl[Sn](Cl)(Cl)(Cl)Cl
training_only_within_group_selection,1,train,Group 1/8.log,Group 1,Group 1,8.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CBr)=CC(SC1=C5)=C4O)=CC(CBr)=C3)=CC(CBr)=C2)O)C=C5CBr
training_only_within_group_selection,1,train,Group 1/10.log,Group 1,Group 1,10.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br
training_only_within_group_selection,1,train,Group 1/11.log,Group 1,Group 1,11.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(S(=O)([O-])=O)=CC(SC1=C5)=C4O)=CC(S(=O)([O-])=O)=C3)=CC(S(=O)([O-])=O)=C2)O)C=C5S(=O)([O-])=O.[Na+].[Na+].[Na+].[Na+]
training_only_within_group_selection,1,train,Group 2/13.log,Group 2,Group 2,13.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O[Si](C)(C)C(C)(C)C)C=CC=C1SC5=C(O[Si](C)(C(C)(C)C)C)C4=CC=C5
training_only_within_group_selection,1,train,Group 2/14.log,Group 2,Group 2,14.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O[Si](C)(C(C)(C)C)C)=CC(Br)=C3)=CC(Br)=C2)O[Si](C)(C)C(C)(C)C)C=C5Br
training_only_within_group_selection,1,train,Group 3/16.log,Group 3,Group 3,16.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OC)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 3/18.log,Group 3,Group 3,18.log,BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCCCC)C(SC4=CC(Br)=CC(SC5=C1)=C4OCCCC)=CC(Br)=C3)=C2OCCCC)=C5OCCCC
training_only_within_group_selection,1,train,Group 3/20.log,Group 3,Group 3,20.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5
