Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_HOMO,Predicted_HOMO,Baseline_HOMO_xTB,Residual_HOMO,Abs_Error_HOMO,Baseline_Residual_HOMO_xTB,Baseline_Abs_Error_HOMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
132,Group 11,Group 11/129.log,Group 11,129.log,CC(C1=CC2=C(OCCCC3=CN(CCCOC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCC%12=CN(CCCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCC%18=CN(CCCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCC%24=CN(CCCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,568,-3.719934,-5.49260916338119,-9.1487,-1.7726751633811904,1.7726751633811904,-5.4287659999999995,5.4287659999999995,3.656090836618809,True,True,True,1
64,Group 6,Group 6/61.log,Group 6,61.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4OCCCBr)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)OCCCBr)C=C5[N+]([O-])=O,74,-6.948193,-7.420896249956568,-11.0806,-0.4727032499565684,0.4727032499565684,-4.132407000000001,4.132407000000001,3.659703750043432,True,True,True,2
101,Group 9,Group 9/98.log,Group 9,98.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=CC=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=CC=C9)=NN8)=C7OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C6OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1,184,-5.484105,-5.909430566923485,-9.855,-0.425325566923485,0.425325566923485,-4.370895000000001,4.370895000000001,3.945569433076516,True,True,True,3
72,Group 7,Group 7/69.log,Group 7,69.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9,104,-7.233718,-6.865168548076634,-10.4602,0.3685494519233661,0.3685494519233661,-3.2264820000000007,3.2264820000000007,2.8579325480766347,True,True,True,4
24,Group 3,Group 3/25.log,Group 3,25.log,OC(C(SC1=CC([N+]([O-])=O)=CC(SC2=CC([N+]([O-])=O)=CC(S3)=C2O)=C1OCCCCCCCC)=CC([N+]([O-])=O)=C4)=C4SC5=C(C3=CC([N+]([O-])=O)=C5)OCCCCCCCC,104,-7.16784,-7.460553163962873,-11.1551,-0.2927131639628726,0.2927131639628726,-3.987259999999999,3.987259999999999,3.6945468360371265,True,True,True,5
106,Group 9,Group 9/103.log,Group 9,103.log,C1(C2)=C(C(CC(C=CC=C3CC4=C(OCC5=CC(C6=CC=CC=C6)=NN5)C(CC7=CC=CC2=C7OCC8=CC(C9=CC=CC=C9)=NN8)=CC=C4)=C3OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=CC=C1)OCC%12=CC(C%13=CC=CC=C%13)=NN%12,136,-5.972678,-6.228937147206015,-10.0888,-0.2562591472060145,0.2562591472060145,-4.116122000000001,4.116122000000001,3.859862852793986,True,True,False,6
62,Group 6,Group 6/59.log,Group 6,59.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCBr)C=C5C(C)(C)C,122,-5.727671,-5.929059655145025,-9.7845,-0.20138865514502502,0.20138865514502502,-4.056829,4.056829,3.8554403448549746,True,False,False,7
114,Group 10,Group 10/111.log,Group 10,111.log,C#CC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,31,-6.742913,-6.541923111355452,-9.8456,0.20098988864454803,0.20098988864454803,-3.1026869999999995,3.1026869999999995,2.9016971113554515,True,False,False,8
122,Group 10,Group 10/119.log,Group 10,119.log,CCCCCCCCOC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,54,-6.539375,-6.348141516392847,-9.7634,0.19123348360715298,0.19123348360715298,-3.224025000000001,3.224025000000001,3.032791516392848,True,False,False,9
14,Group 2,Group 2/15.log,Group 2,15.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OS(C(F)(F)F)(=O)=O)C=CC=C1SC5=C(OS(=O)(C(F)(F)F)=O)C4=CC=C5,60,-6.335211,-6.5093259073891145,-10.3133,-0.1741149073891144,0.1741149073891144,-3.9780889999999998,3.9780889999999998,3.8039740926108854,True,False,False,10
16,Group 3,Group 3/17.log,Group 3,17.log,CC(C1=CC2=C(OCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCC)=C4OCCC)=C3OCCC)=C1)(C)C,132,-5.98993,-5.816205896145924,-9.4967,0.17372410385407644,0.17372410385407644,-3.5067700000000004,3.5067700000000004,3.333045896145924,True,False,False,11
202,Group 15,Group 15/199.log,Group 15,199.log,CC(C)(C)C1=CC(CC2=C3)=C(OCO)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC(O)=O)=C5OCC(O)=O)=C4OCC(O)=O)=C1.O=[C],128,-6.154176,-6.006182422655252,-9.8308,0.1479935773447476,0.1479935773447476,-3.6766240000000003,3.6766240000000003,3.5286304226552527,True,False,False,12
45,Group 4,Group 4/42.log,Group 4,42.log,CC(C1=CC2=C(OCCCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C,148,-6.100244,-5.963011574300987,-9.7552,0.13723242569901295,0.13723242569901295,-3.6549560000000003,3.6549560000000003,3.5177235743009874,True,False,False,13
205,Group 15,Group 15/202.log,Group 15,202.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN6C(C(OC)=O)=C(C(OC)=O)N=N6)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN7N=NC(C(OC)=O)=C7C(OC)=O)C=C5C(C)(C)C,144,-6.009332,-5.87706043032391,-9.556,0.13227156967608966,0.13227156967608966,-3.5466679999999995,3.5466679999999995,3.41439643032391,True,False,False,14
91,Group 8,Group 8/88.log,Group 8,88.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN=[N+]=[N-])=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN=[N+]=[N-])C=C5C(C)(C)C,112,-5.865821,-5.986210852471812,-9.7204,-0.12038985247181166,0.12038985247181166,-3.8545789999999993,3.8545789999999993,3.7341891475281876,True,False,False,15
150,Group 11,Group 11/147.log,Group 11,147.log,OC1=C(SC2=C3)C=C(C(C)(C)C)C=C1SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(SC(C=C3C(C)(C)C)=C2O)=C5OCCCCC(N=N6)=CN6CCCCCOC7=C(SC8=CC(C(C)(C)C)=CC(SC9=CC(C(C)(C)C)=CC(S%10)=C9OCCCCCN%11N=NC(CCCCOC%12=C(SC%13=C%14)C=C(C(C)(C)C)C=C%12SC%15=CC(C(C)(C)C)=CC(SC%16=CC(C(C)(C)C)=CC(SC(C=C%14C(C)(C)C)=C%13O)=C%16O)=C%15O)=C%11)=C8OCCCCCN%17C=C(CCCCOC%18=C(C=C(C=C%18SC%19=C%20)C(C)(C)C)SC%21=CC(C(C)(C)C)=CC(SC%22=C(O)C(SC(C=C%20C(C)(C)C)=C%19O)=CC(C(C)(C)C)=C%22)=C%21O)N=N%17)C=C(C(C)(C)C)C=C7SC%23=CC(C(C)(C)C)=CC%10=C%23OCCCCCN%24N=NC(CCCCOC%25=C(C=C%26C(C)(C)C)SC%27=C(O)C(SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%25=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=CC(C(C)(C)C)=C%27)=C%24)=C4O,604,-5.582201,-5.691299027718048,-9.3722,-0.10909802771804777,0.10909802771804777,-3.789998999999999,3.789998999999999,3.6809009722819512,True,False,False,16
253,Group 21,Group 21/250.log,Group 21,250.log,CC(C1=CC2=C(OCCSCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCC6=CN(C7=CC(C8=NC=CC=C8)=NC(C9=CC=CC=N9)=C7)N=N6)=C4OCCSCCCCCCCC)=C3OCCCC%10=CN(C%11=CC(C%12=NC=CC=C%12)=NC(C%13=CC=CC=N%13)=C%11)N=N%10)=C1)(C)C,242,-5.715725,-5.609751755147293,-9.3745,0.10597324485270665,0.10597324485270665,-3.6587749999999994,3.6587749999999994,3.552801755147293,True,False,False,17
189,Group 14,Group 14/186.log,Group 14,186.log,CC(C1=CC2=C(OCC#CC(C3=CC=C(C)C=C3)=O)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(C2)=C6OCC#CC(C7=CC=C(C)C=C7)=O)=C5OCC#CC(C8=CC=C(C)C=C8)=O)=C4OCC#CC(C9=CC=C(C)C=C9)=O)=C1)(C)C,184,-5.953467,-6.052245981794488,-9.8047,-0.09877898179448774,0.09877898179448774,-3.8512330000000006,3.8512330000000006,3.752454018205513,True,False,False,18
42,Group 4,Group 4/39_iso.log,Group 4,39_iso.log,OC(C(SC1=CC(C(C)(C)C)=CC(SC2=CC(C(C)(C)C)=CC(S3)=C2O)=C1OCC#C)=CC(C(C)(C)C)=C4)=C4SC5=C(C3=CC(C(C)(C)C)=C5)OCC#C,106,-5.740596,-5.838173554502257,-9.522,-0.0975775545022568,0.0975775545022568,-3.781404,3.781404,3.6838264454977434,True,False,False,19
