Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_LUMO,Predicted_LUMO,Baseline_LUMO_xTB,Residual_LUMO,Abs_Error_LUMO,Baseline_Residual_LUMO_xTB,Baseline_Abs_Error_LUMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
258,Group 22,Group 22/255.log,Group 22,255.log,CC(C1=CC2=C(OCCOCCOCCOC3=C(SC4=CC(C(C)(C)C)=CC(S2)=C4OCCSC(C)=O)C=C(C(C)(C)C)C=C3S5)C(SC6=CC(C(C)(C)C)=CC5=C6OCCSC(C)=O)=C1)(C)C,138,-0.749418,-1.3058038856506347,-7.1502,-0.5563858856506346,0.5563858856506346,-6.4007819999999995,6.4007819999999995,5.844396114349365,True,True,True,1
205,Group 15,Group 15/202.log,Group 15,202.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN6C(C(OC)=O)=C(C(OC)=O)N=N6)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN7N=NC(C(OC)=O)=C7C(OC)=O)C=C5C(C)(C)C,144,-1.753259,-2.2829127067565924,-8.2444,-0.5296537067565925,0.5296537067565925,-6.491141000000001,6.491141000000001,5.961487293243408,True,True,True,2
245,Group 19,Group 19/242.log,Group 19,242.log,CC(C1=CC2=C(OCCSCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN6C(C(OC)=O)=C(C(OC)=O)N=N6)=C4OCCSCCCCCCCC)=C3OCCCN7N=NC(C(OC)=O)=C7C(OC)=O)=C1)(C)C,212,-1.918267,-2.264015104675293,-8.1974,-0.34574810467529304,0.34574810467529304,-6.279133,6.279133,5.933384895324707,True,True,False,3
202,Group 15,Group 15/199.log,Group 15,199.log,CC(C)(C)C1=CC(CC2=C3)=C(OCO)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC(O)=O)=C5OCC(O)=O)=C4OCC(O)=O)=C1.O=[C],128,-0.529608,-0.85507565612793,-6.8962,-0.32546765612793005,0.32546765612793005,-6.366592000000001,6.366592000000001,6.04112434387207,True,True,False,4
5,Group 1,Group 1/6.log,Group 1,6.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4O)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)O)C=C5[N+]([O-])=O,56,-2.874298,-3.1979426139831535,-9.4569,-0.3236446139831535,0.3236446139831535,-6.582602,6.582602,6.258957386016846,True,True,False,5
150,Group 11,Group 11/147.log,Group 11,147.log,OC1=C(SC2=C3)C=C(C(C)(C)C)C=C1SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(SC(C=C3C(C)(C)C)=C2O)=C5OCCCCC(N=N6)=CN6CCCCCOC7=C(SC8=CC(C(C)(C)C)=CC(SC9=CC(C(C)(C)C)=CC(S%10)=C9OCCCCCN%11N=NC(CCCCOC%12=C(SC%13=C%14)C=C(C(C)(C)C)C=C%12SC%15=CC(C(C)(C)C)=CC(SC%16=CC(C(C)(C)C)=CC(SC(C=C%14C(C)(C)C)=C%13O)=C%16O)=C%15O)=C%11)=C8OCCCCCN%17C=C(CCCCOC%18=C(C=C(C=C%18SC%19=C%20)C(C)(C)C)SC%21=CC(C(C)(C)C)=CC(SC%22=C(O)C(SC(C=C%20C(C)(C)C)=C%19O)=CC(C(C)(C)C)=C%22)=C%21O)N=N%17)C=C(C(C)(C)C)C=C7SC%23=CC(C(C)(C)C)=CC%10=C%23OCCCCCN%24N=NC(CCCCOC%25=C(C=C%26C(C)(C)C)SC%27=C(O)C(SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%25=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=CC(C(C)(C)C)=C%27)=C%24)=C4O,604,-1.456414,-1.7470734397888181,-7.2642,-0.29065943978881803,0.29065943978881803,-5.807786,5.807786,5.517126560211182,True,True,False,6
214,Group 16,Group 16/211.log,Group 16,211.log,CC(C1=CC2=C(OCCOCCOCCOCCOCCOC3=C(SC4=CC(C(C)(C)C)=CC(S2)=C4OCCN5C(C(C=CC=C6)C6C5=O)=O)C=C(C(C)(C)C)C=C3S7)C(SC8=CC(C(C)(C)C)=CC7=C8OCCN9C(C(C=CC=C%10)C%10C9=O)=O)=C1)(C)C,172,-1.436414,-1.718079866027832,-7.6311,-0.28166586602783195,0.28166586602783195,-6.194686,6.194686,5.913020133972168,True,False,False,7
148,Group 11,Group 11/145.log,Group 11,145.log,CC(C1=CC2=C(OCCCCCN3N=NC(CCOC4=C(C=C5C(C)(C)C)SC6=C(O)C(SC7=C(O)C(SC8=CC(C(C)(C)C)=CC(SC4=C5)=C8O)=CC(C(C)(C)C)=C7)=CC(C(C)(C)C)=C6)=C3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCCN%12N=NC(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)=C%12)=C%10OCCCCCN%18C=C(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCCN%24C=C(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,580,-1.507734,-1.786578636169434,-7.2925,-0.2788446361694341,0.2788446361694341,-5.784766,5.784766,5.505921363830566,True,False,False,8
137,Group 11,Group 11/134.log,Group 11,134.log,OC1=C(SC2=C3)C=C(C(C)(C)C)C=C1SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(SC(C=C3C(C)(C)C)=C2O)=C5OCCCC(N=N6)=CN6CCOC7=C(SC8=CC(C(C)(C)C)=CC(SC9=CC(C(C)(C)C)=CC(S%10)=C9OCCN%11N=NC(CCCOC%12=C(SC%13=C%14)C=C(C(C)(C)C)C=C%12SC%15=CC(C(C)(C)C)=CC(SC%16=CC(C(C)(C)C)=CC(SC(C=C%14C(C)(C)C)=C%13O)=C%16O)=C%15O)=C%11)=C8OCCN%17C=C(CCCOC%18=C(C=C(C=C%18SC%19=C%20)C(C)(C)C)SC%21=CC(C(C)(C)C)=CC(SC%22=C(O)C(SC(C=C%20C(C)(C)C)=C%19O)=CC(C(C)(C)C)=C%22)=C%21O)N=N%17)C=C(C(C)(C)C)C=C7SC%23=CC(C(C)(C)C)=CC%10=C%23OCCN%24N=NC(CCCOC%25=C(C=C%26C(C)(C)C)SC%27=C(O)C(SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%25=C%26)=C%29O)=CC(C(C)(C)C)=C%28)=CC(C(C)(C)C)=C%27)=C%24)=C4O,556,-1.400904,-1.6769216445922854,-7.1729,-0.2760176445922855,0.2760176445922855,-5.771996000000001,5.771996000000001,5.495978355407715,True,False,False,9
101,Group 9,Group 9/98.log,Group 9,98.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=CC=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=CC=C9)=NN8)=C7OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C6OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1,184,-0.880575,-0.6247832725524907,-6.3348,0.25579172744750933,0.25579172744750933,-5.454225,5.454225,5.19843327255249,True,False,False,10
