Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_Final_Energy,Predicted_Final_Energy,Baseline_Final_Energy_xTB,Residual_Final_Energy,Abs_Error_Final_Energy,Baseline_Residual_Final_Energy_xTB,Baseline_Abs_Error_Final_Energy_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Selected_Energy_Target_Mode,Selected_Energy_Weight_Scheme,Calculated_Selected_Energy_Target,Predicted_Selected_Energy_Target,Abs_Error_Selected_Energy_Target,Abs_Error_Final_Energy_per_atom,Relative_Abs_Error_Final_Energy,Error_Rank
177,Group 13,Group 13/174.log,Group 13,174.log,CC(C)(C)C1=CC(SC(C=C2C(C)(C)C)=C3OCCOCCOCCOCCOCCOC(C(S4)=CC(C(C)(C)C)=C5)=C5SC6=C(C7=CC(C(C)(C)C)=C6)OCCCBr)=C(OCCCBr)C(SC8=C(OCCOCCOCCOCCOCCOC9=C(S7)C=C(C(C)(C)C)C=C9SC%10=C(OCCCBr)C4=CC(C(C)(C)C)=C%10)C(SC(C=C(C=C%11SC3=C2)C(C)(C)C)=C%11OCCCBr)=CC(C(C)(C)C)=C8)=C1,292,-19030.159836072264,-7997.781062401427,-424.866170640588,11032.378773670836,11032.378773670836,18605.293665431676,18605.293665431676,7572.91489176084,True,True,True,delta_energy,none,-18605.293665431676,-7572.914891760839,11032.378773670836,37.78211908791382,0.5797312722908832,1
14,Group 2,Group 2/15.log,Group 2,15.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OS(C(F)(F)F)(=O)=O)C=CC=C1SC5=C(OS(=O)(C(F)(F)F)=O)C4=CC=C5,60,-4583.596647008348,-11884.354092012301,-143.214489061256,-7300.757445003954,7300.757445003954,4440.382157947091,4440.382157947091,-2860.3752870568624,False,True,True,delta_energy,none,-4440.382157947091,-11741.139602951045,7300.757445003954,121.6792907500659,1.5928010266246122,2
24,Group 3,Group 3/25.log,Group 3,25.log,OC(C(SC1=CC([N+]([O-])=O)=CC(SC2=CC([N+]([O-])=O)=CC(S3)=C2O)=C1OCCCCCCCC)=CC([N+]([O-])=O)=C4)=C4SC5=C(C3=CC([N+]([O-])=O)=C5)OCCCCCCCC,104,-4258.848719227213,-11154.881327463128,-181.252670255698,-6896.032608235915,6896.032608235915,4077.5960489715153,4077.5960489715153,-2818.4365592644,False,True,True,delta_energy,none,-4077.5960489715153,-10973.62865720743,6896.032608235914,66.30800584842225,1.6192245986777005,3
72,Group 7,Group 7/69.log,Group 7,69.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9,104,-4990.81572719951,-11483.579672124788,-213.345140613438,-6492.763944925278,6492.763944925278,4777.4705865860715,4777.4705865860715,-1715.2933583392069,False,True,True,delta_energy,none,-4777.4705865860715,-11270.23453151135,6492.763944925279,62.43042254735845,1.3009424310192967,4
89,Group 8,Group 8/86.log,Group 8,86.log,CC(C1=CC2=C(OCCCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCN=[N+]=[N-])=C4OCCCCN=[N+]=[N-])=C3OCCCCN=[N+]=[N-])=C1)(C)C,152,-4723.416121918299,-10024.1377688093,-222.88545774288,-5300.721646891001,5300.721646891001,4500.530664175419,4500.530664175419,-800.1909827155823,False,True,True,delta_energy,none,-4500.530664175419,-9801.25231106642,5300.721646891002,34.87316872954606,1.1222220338120499,5
5,Group 1,Group 1/6.log,Group 1,6.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4O)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)O)C=C5[N+]([O-])=O,56,-3631.244942365536,-8627.077371338875,-130.613533916182,-4995.832428973339,4995.832428973339,3500.6314084493542,3500.6314084493542,-1495.2010205239849,False,True,True,delta_energy,none,-3500.6314084493542,-8496.463837422692,4995.832428973338,89.21129337452392,1.3757905369239838,6
110,Group 9,Group 9/107.log,Group 9,107.log,CC(C1=CC2=C(OCCCCC3=CC(C4=CC=CC=C4)=NN3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCCCCC8=CC(C9=CC=CC=C9)=NN8)=C6OCCCCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCCCCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C,212,-5891.283958023176,-10419.854525151706,-302.747924615462,-4528.5705671285305,4528.5705671285305,5588.536033407714,5588.536033407714,1059.9654662791836,True,False,True,delta_energy,none,-5588.536033407714,-10117.106600536245,4528.5705671285305,21.361181920417597,0.768689915371251,7
108,Group 9,Group 9/105.log,Group 9,105.log,CC(C1=CC2=C(OCC3=CC(C4=CC=CC=C4)=NN3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCC8=CC(C9=CC=CC=C9)=NN8)=C6OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C,176,-5420.392644703643,-8255.303534367507,-264.810957215598,-2834.9108896638645,2834.9108896638645,5155.581687488045,5155.581687488045,2320.67079782418,True,False,False,delta_energy,none,-5155.581687488045,-7990.492577151909,2834.9108896638645,16.1074482367265,0.5230084009557266,8
62,Group 6,Group 6/59.log,Group 6,59.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCBr)C=C5C(C)(C)C,122,-7389.027072310322,-4640.101597439564,-165.283286525153,2748.925474870758,2748.925474870758,7223.743785785169,7223.743785785169,4474.818310914411,True,False,False,delta_energy,none,-7223.743785785169,-4474.818310914411,2748.925474870758,22.532176023530806,0.37202806918496417,9
45,Group 4,Group 4/42.log,Group 4,42.log,CC(C1=CC2=C(OCCCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C,148,-2782.56427778373,-5506.733377006151,-193.945408356205,-2724.169099222421,2724.169099222421,2588.618869427525,2588.618869427525,-135.55022979489604,False,False,False,delta_energy,none,-2588.618869427525,-5312.787968649946,2724.169099222421,18.406547967719064,0.979013897706755,10
