Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_HOMO,Predicted_HOMO,Baseline_HOMO_xTB,Residual_HOMO,Abs_Error_HOMO,Baseline_Residual_HOMO_xTB,Baseline_Abs_Error_HOMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
6,Group 1,Group 1/7.log,Group 1,7.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([NH3+])=CC(SC1=C5)=C4O)=CC([NH3])=C3)=CC([NH3])=C2)O)C=C5[NH3].Cl[Sn-](Cl)(Cl)(Cl)Cl.Cl[Sn-](Cl)(Cl)([Cl+])Cl.Cl[Sn](Cl)(Cl)(Cl)Cl.Cl[Sn](Cl)(Cl)(Cl)Cl,84,-8.057286,-7.270451002688079,-10.9557,0.7868349973119209,0.7868349973119209,-2.8984140000000007,2.8984140000000007,2.11157900268808,True,True,True,1
10,Group 1,Group 1/11.log,Group 1,11.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(S(=O)([O-])=O)=CC(SC1=C5)=C4O)=CC(S(=O)([O-])=O)=C3)=CC(S(=O)([O-])=O)=C2)O)C=C5S(=O)([O-])=O.[Na+].[Na+].[Na+].[Na+],64,-7.386072,-6.925879517776978,-10.8524,0.46019248222302256,0.46019248222302256,-3.466327999999999,3.466327999999999,3.0061355177769764,True,True,False,2
8,Group 1,Group 1/9.log,Group 1,9.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CCl)=CC(SC1=C5)=C4O)=CC(CCl)=C3)=CC(CCl)=C2)O)C=C5CCl,60,-7.033989,-6.5798867957241995,-10.4254,0.4541022042758005,0.4541022042758005,-3.3914109999999997,3.3914109999999997,2.9373087957241992,True,True,False,3
4,Group 1,Group 1/5.log,Group 1,5.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O)C=CC=C1SC5=C(O)C4=CC=C5,48,-6.772791,-6.325983584954095,-10.1069,0.44680741504590493,0.44680741504590493,-3.3341089999999998,3.3341089999999998,2.887301584954095,True,True,False,4
3,Group 1,Group 1/4.log,Group 1,4.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4O)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,96,-6.460735,-6.018637978478386,-9.8855,0.44209702152161334,0.44209702152161334,-3.4247650000000007,3.4247650000000007,2.9826679784783874,True,True,False,5
122,Group 10,Group 10/119.log,Group 10,119.log,CCCCCCCCOC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,54,-6.539375,-6.130679726789699,-9.7634,0.4086952732103004,0.4086952732103004,-3.224025000000001,3.224025000000001,2.8153297267897006,True,False,False,6
5,Group 1,Group 1/6.log,Group 1,6.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4O)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)O)C=C5[N+]([O-])=O,56,-7.996061,-7.623081108874531,-11.3749,0.37297989112546936,0.37297989112546936,-3.378839,3.378839,3.005859108874531,True,False,False,7
114,Group 10,Group 10/111.log,Group 10,111.log,C#CC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,31,-6.742913,-6.406128478694535,-9.8456,0.3367845213054643,0.3367845213054643,-3.1026869999999995,3.1026869999999995,2.765902478694535,True,False,False,8
1,Group 1,Group 1/2.log,Group 1,2.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(Br)=CC(CC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,56,-6.500109,-6.821683170349805,-10.8366,-0.3215741703498045,0.3215741703498045,-4.3364910000000005,4.3364910000000005,4.014916829650196,True,False,False,9
16,Group 3,Group 3/17.log,Group 3,17.log,CC(C1=CC2=C(OCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCC)=C4OCCC)=C3OCCC)=C1)(C)C,132,-5.98993,-5.70657256477571,-9.4967,0.28335743522429,0.28335743522429,-3.5067700000000004,3.5067700000000004,3.2234125647757104,True,False,False,10
