Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_LUMO,Predicted_LUMO,Baseline_LUMO_xTB,Residual_LUMO,Abs_Error_LUMO,Baseline_Residual_LUMO_xTB,Baseline_Abs_Error_LUMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
6,Group 1,Group 1/7.log,Group 1,7.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([NH3+])=CC(SC1=C5)=C4O)=CC([NH3])=C3)=CC([NH3])=C2)O)C=C5[NH3].Cl[Sn-](Cl)(Cl)(Cl)Cl.Cl[Sn-](Cl)(Cl)([Cl+])Cl.Cl[Sn](Cl)(Cl)(Cl)Cl.Cl[Sn](Cl)(Cl)(Cl)Cl,84,-3.427389,-3.987633888019751,-10.2584,-0.560244888019751,0.560244888019751,-6.831011,6.831011,6.270766111980249,True,True,True,1
21,Group 3,Group 3/22.log,Group 3,22.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC([N+]([O-])=O)=C3)=CC=C2)OCCCCCCCCCCCC)C=C([N+]([O-])=O)C=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5,124,-2.372745,-2.901925067422563,-8.9491,-0.5291800674225628,0.5291800674225628,-6.5763549999999995,6.5763549999999995,6.047174932577437,True,True,True,2
17,Group 3,Group 3/18.log,Group 3,18.log,BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCCCC)C(SC4=CC(Br)=CC(SC5=C1)=C4OCCCC)=CC(Br)=C3)=C2OCCCC)=C5OCCCC,96,-1.384795,-1.8444377788266832,-7.841,-0.45964277882668325,0.45964277882668325,-6.456205000000001,6.456205000000001,5.996562221173317,True,True,True,3
2,Group 1,Group 1/3.log,Group 1,3.log,OC1=C(CC2=CC(C(C)(C)C)=CC3=C2O)C=C(C(C)(C)C)C=C1CC4=C(O)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC8=CC(C(C)(C)C)=CC(CC(C=C(C(C)(C)C)C=C9C3)=C9O)=C8O)=C7O)=C6O)=C5O)=CC(C(C)(C)C)=C4,208,-0.580329,-0.160570908028701,-5.9846,0.419758091971299,0.419758091971299,-5.4042710000000005,5.4042710000000005,4.984512908028702,True,True,False,4
23,Group 3,Group 3/24.log,Group 3,24.log,BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(O[Si](C)(C)C(C)(C)C)C(SC5=CC(Br)=CC2=C5O)=CC(Br)=C4)=C3OCCCCCCCCCCCC)=C1O[Si](C)(C)C(C)(C)C,126,-1.497122,-1.8902102859927439,-7.8821,-0.3930882859927438,0.3930882859927438,-6.384978,6.384978,5.9918897140072565,True,True,False,5
0,Group 1,Group 1/1.log,Group 1,1.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4O)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,104,-0.610805,-0.22676193801791733,-6.0708,0.3840430619820827,0.3840430619820827,-5.459995,5.459995,5.075951938017917,True,False,False,6
24,Group 3,Group 3/25.log,Group 3,25.log,OC(C(SC1=CC([N+]([O-])=O)=CC(SC2=CC([N+]([O-])=O)=CC(S3)=C2O)=C1OCCCCCCCC)=CC([N+]([O-])=O)=C4)=C4SC5=C(C3=CC([N+]([O-])=O)=C5)OCCCCCCCC,104,-2.900448,-3.2007412056428386,-9.3726,-0.3002932056428387,0.3002932056428387,-6.472152,6.472152,6.171858794357162,True,False,False,7
10,Group 1,Group 1/11.log,Group 1,11.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(S(=O)([O-])=O)=CC(SC1=C5)=C4O)=CC(S(=O)([O-])=O)=C3)=CC(S(=O)([O-])=O)=C2)O)C=C5S(=O)([O-])=O.[Na+].[Na+].[Na+].[Na+],64,-2.3285,-2.0291638092747277,-8.1793,0.2993361907252723,0.2993361907252723,-5.8508,5.8508,5.551463809274727,True,False,False,8
5,Group 1,Group 1/6.log,Group 1,6.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4O)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)O)C=C5[N+]([O-])=O,56,-2.874298,-3.163701348308832,-9.4569,-0.2894033483088321,0.2894033483088321,-6.582602,6.582602,6.293198651691167,True,False,False,9
114,Group 10,Group 10/111.log,Group 10,111.log,C#CC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,31,-1.746946,-1.516157976554716,-7.485,0.23078802344528415,0.23078802344528415,-5.738054,5.738054,5.507265976554716,True,False,False,10
9,Group 1,Group 1/10.log,Group 1,10.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,48,-1.818647,-2.0314742892047724,-8.1787,-0.21282728920477245,0.21282728920477245,-6.360052999999999,6.360052999999999,6.147225710795226,True,False,False,11
25,Group 3,Group 3/26.log,Group 3,26.log,OC1=C2C=CC=C1SC3=CC=CC(SC4=C(C(SC(C=CC=C5S2)=C5OCCCCCCCCCCCC)=CC=C4)OCCCCCCCCCCCC)=C3OCCCCCCCCCCCC,156,-0.99546,-1.1874624571236563,-7.0519,-0.19200245712365627,0.19200245712365627,-6.05644,6.05644,5.864437542876344,True,False,False,12
