model,energy_target_mode,weight_scheme,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean
RandomForest,delta_energy_per_atom,robust,1605.650259027036,642.9698692423016,2387.1768612147575,911.0129094441629,-0.2284765259256836,0.9374257579968653,1231.413646007971,3371.6704489792446,4508.929730668078
XGBoost,delta_energy_per_atom,robust,1726.8423468965473,719.6353162544551,2559.9231958762334,960.0185622507167,-0.33934766973556724,1.0338035203431748,1113.7401692428407,3483.78512134558,4778.546689821252
RandomForest,delta_energy_per_atom,soft,1742.539912111619,636.025745995583,2516.125725763795,844.7053569137533,-0.5142648653960479,1.324242121622546,1237.03731076611,3776.391469317357,5049.997998744586
RandomForest,delta_energy_per_atom,none,1845.5465912987415,564.2439618576232,2631.084445777927,737.9632406359443,-0.7473114436024578,1.618642116281692,1277.107390546436,4071.6064890487746,5446.543425723514
XGBoost,delta_energy_per_atom,none,1877.9639973929393,762.9171876154869,2687.787949073381,865.3181436031103,-1.0347093570064914,2.2944032768160576,1458.8453602435316,4159.562531668785,5679.306412566754
XGBoost,delta_energy_per_atom,soft,1879.9431993255712,722.5239620466954,2621.1316652897567,921.2421151356962,-0.5804830870773837,1.5882964422772512,1508.0110838057537,3856.116285832872,4978.465162577431
KernelRidge,delta_energy_per_atom,none,2192.576816544257,808.7222443946647,2921.4601179703445,796.501008871216,-1.4020943649932023,2.8740102209188647,1773.1249102326537,4228.263134145224,5273.400860885801
RandomForest,delta_energy,none,2599.7222798290386,2044.5893276302554,3540.0322684830735,2453.0083673156646,-0.38842755251295785,0.4911554930447404,2680.3822133642184,5497.788656420144,6444.5389894261425
ElasticNet,delta_energy_per_atom,none,2629.5738922416535,1832.420697738758,3375.824905313383,2229.5201793989436,-1.1979857369558817,2.5385919667100403,2595.2302957331476,4780.01161551903,5826.445124648224
RandomForest,final_energy_direct,none,2705.662409337447,2166.5951951499887,3646.09577037554,2611.486768431963,-0.42847044612075186,0.5009877237760817,2828.1465592075683,5636.7770193433535,6603.06684022141
RandomForest,delta_energy,soft,2724.198506379618,2102.335063616118,3695.12640315789,2536.8058436229285,-0.5236055554558251,0.5519017124560003,2800.8211564766534,5760.0974342543295,6792.049824270935
RandomForest,final_energy_direct,soft,2731.206741710527,2151.2478207205254,3711.756998880042,2578.950930209387,-0.5806303413277761,0.71277680794715,2780.872480801727,5824.32831815099,6838.695004072114
XGBoost,delta_energy,none,2816.9717451550487,2100.2225492148395,3900.752179248372,2422.834919608494,-0.9171380793318601,0.8142877376885658,2902.7683925707315,6101.81411657641,6881.471594581714
RandomForest,final_energy_direct,robust,2835.539862747045,2248.0671586972576,3848.458334418621,2710.346015212449,-0.6603081947959922,0.7028142245153842,2980.171382560272,5903.685749635973,7145.7553173194665
XGBoost,final_energy_direct,none,2852.204708713517,2145.725128985105,3984.5564519197715,2548.0482055995776,-1.0481959671881467,0.9217417814761698,2849.5833182162773,6317.001876475021,7261.253754893453
RandomForest,delta_energy,robust,2874.636154942323,2402.1594473398986,3879.10510588395,2865.198719522592,-0.587640604310965,0.6691096035369974,3151.598984352635,5918.436552868691,7028.907168482342
LinearRegression,final_energy_direct,none,2913.0593005441283,1394.817784171422,3657.878640922122,1532.7838943345653,-1.244237013143812,1.6137401303255812,2913.064185534662,5249.318313616708,6271.655154479
LinearRegression,delta_energy,none,2916.2601724597366,1392.24981118368,3661.194758566615,1530.8473872804882,-1.2472167465141195,1.611806952220977,2914.955525238035,5250.963685809105,6273.025583765289
XGBoost,delta_energy,soft,3059.1421532074396,2388.027419186387,4125.750380386683,2807.4872699511175,-0.9928937822149921,0.8529988343540467,3314.415065889564,6479.026058576845,7256.435810407514
XGBoost,final_energy_direct,soft,3067.9094392832485,2272.4708396100805,4146.387769197579,2680.3314000284504,-1.1049816811542819,0.9284953536115675,3291.677287999181,6590.336370562832,7399.433474627056
Ridge,delta_energy,none,3113.396986774135,2064.978513262327,3902.187081328046,2488.988107789958,-1.0345359822143294,1.3911754804888208,3705.4473697427616,5473.583073656273,6312.146162706529
XGBoost,final_energy_direct,robust,3117.0655268286514,2341.2659694782137,4192.495406471157,2789.810646177066,-1.0789688297725264,0.9087762061750368,3339.6679345738767,6744.750120310896,7368.001425554817
XGBoost,delta_energy,robust,3146.296550296345,2405.5838711397087,4224.136014348768,2862.47690199997,-1.0479038241818506,0.8946515819677612,3434.6385733470424,6681.299190298972,7568.537932285735
Ridge,final_energy_direct,none,3148.5694290684087,2133.4228759801977,3954.5516539040923,2573.719302480985,-1.060306895275779,1.380749862668103,3744.275547491662,5566.926531005802,6412.54892177385
ElasticNet,delta_energy,none,3259.596215635681,2241.8925366649164,4128.605138864222,2712.964576188402,-1.197151204892913,1.3876423144221115,3763.5399301086663,5948.738550905199,6802.299336453413
ElasticNet,final_energy_direct,none,3299.7104256646467,2328.802039523336,4180.7705067921725,2825.7726078895257,-1.2167645345097504,1.3820607376728717,3815.017823651958,6017.871786420166,6858.228439477873
KernelRidge,delta_energy,none,3356.224475060813,2486.8165478939572,4413.947967145515,2893.086382450122,-1.8706826484556642,2.19344155732297,4068.011257783948,6166.2188452629425,7136.396246084568
KernelRidge,final_energy_direct,none,3372.7581401811312,2643.5393620523114,4415.708630395752,3118.01211336783,-1.5870203398536296,1.7777149574438447,4114.716702442543,6265.3940994786535,7137.799334222695
Ridge,delta_energy_per_atom,none,3595.3429008279218,3323.3715777460457,4599.249599065882,4225.927925023082,-1.400515590149572,2.02000125100193,4286.260879408394,6695.224066774917,7392.706734329952
LinearRegression,delta_energy_per_atom,none,5414.093016364163,6397.078583851392,7018.441226892334,8319.885411193336,-4.067055835355645,5.643398657081213,6599.351275546523,10390.543404265312,11668.929085161839
