Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_Final_Energy,Predicted_Final_Energy,Baseline_Final_Energy_xTB,Residual_Final_Energy,Abs_Error_Final_Energy,Baseline_Residual_Final_Energy_xTB,Baseline_Abs_Error_Final_Energy_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Selected_Energy_Target_Mode,Selected_Energy_Weight_Scheme,Calculated_Selected_Energy_Target,Predicted_Selected_Energy_Target,Abs_Error_Selected_Energy_Target,Abs_Error_Final_Energy_per_atom,Relative_Abs_Error_Final_Energy,Error_Rank
9,Group 1,Group 1/10.log,Group 1,10.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,48,-13106.461845273863,-3302.206848538197,-103.105987730237,9804.254996735666,9804.254996735666,13003.355857543625,13003.355857543625,3199.100860807959,True,True,True,delta_energy_per_atom,robust,-270.90324703215884,-66.64793460016584,204.255312431993,204.25531243199305,0.7480474221396036,1
7,Group 1,Group 1/8.log,Group 1,8.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CBr)=CC(SC1=C5)=C4O)=CC(CBr)=C3)=CC(CBr)=C2)O)C=C5CBr,60,-13263.43895157496,-3797.247253995534,-115.768077512018,9466.191697579427,9466.191697579427,13147.670874062942,13147.670874062942,3681.4791764835154,True,True,True,delta_energy_per_atom,robust,-219.12784790104902,-61.35798627472526,157.76986162632375,157.76986162632377,0.7137056786051879,2
1,Group 1,Group 1/2.log,Group 1,2.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(Br)=CC(CC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,56,-11671.72278906903,-3173.3127398678876,-102.835983327407,8498.410049201142,8498.410049201142,11568.886805741624,11568.886805741624,3070.476756540482,True,True,True,delta_energy_per_atom,robust,-206.58726438824328,-54.829942081080006,151.7573223071633,151.75732230716326,0.7281195932063186,3
17,Group 3,Group 3/18.log,Group 3,18.log,BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCCCC)C(SC4=CC(Br)=CC(SC5=C1)=C4OCCCC)=CC(Br)=C3)=C2OCCCC)=C5OCCCC,96,-13734.230034705117,-5445.868232394375,-153.707871955559,8288.361802310741,8288.361802310741,13580.522162749558,13580.522162749558,5292.1603604388165,True,True,True,delta_energy_per_atom,robust,-141.46377252864121,-55.12667042123766,86.33710210740355,86.33710210740355,0.6034820868269127,4
23,Group 3,Group 3/24.log,Group 3,24.log,BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(O[Si](C)(C)C(C)(C)C)C(SC5=CC(Br)=CC2=C5O)=CC(Br)=C4)=C3OCCCCCCCCCCCC)=C1O[Si](C)(C)C(C)(C)C,126,-14629.2680366717,-7300.790480885499,-184.61656005311,7328.4775557862,7328.4775557862,14444.65147661859,14444.65147661859,7116.17392083239,True,True,True,delta_energy_per_atom,robust,-114.64009108427453,-56.477570800257055,58.162520284017475,58.16252028401746,0.500946290505488,5
6,Group 1,Group 1/7.log,Group 1,7.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([NH3+])=CC(SC1=C5)=C4O)=CC([NH3])=C3)=CC([NH3])=C2)O)C=C5[NH3].Cl[Sn-](Cl)(Cl)(Cl)Cl.Cl[Sn-](Cl)(Cl)([Cl+])Cl.Cl[Sn](Cl)(Cl)(Cl)Cl.Cl[Sn](Cl)(Cl)(Cl)Cl,84,-13094.4214071825,-5859.4086323936135,-204.753702691425,7235.012774788887,7235.012774788887,12889.667704491076,12889.667704491076,5654.654929702188,True,False,True,delta_energy_per_atom,robust,-153.4484250534652,-67.31732059169272,86.13110446177248,86.13110446177247,0.5525263430742224,6
21,Group 3,Group 3/22.log,Group 3,22.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC([N+]([O-])=O)=C3)=CC=C2)OCCCCCCCCCCCC)C=C([N+]([O-])=O)C=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5,124,-4164.673207032607,-6638.206500605311,-185.648930817961,-2473.5332935727038,2473.5332935727038,3979.024276214646,3979.024276214646,1505.490982641942,True,False,False,delta_energy_per_atom,robust,-32.08890545334392,-52.03675459505928,19.94784914171536,19.947849141715352,0.5939321455978522,7
24,Group 3,Group 3/25.log,Group 3,25.log,OC(C(SC1=CC([N+]([O-])=O)=CC(SC2=CC([N+]([O-])=O)=CC(S3)=C2O)=C1OCCCCCCCC)=CC([N+]([O-])=O)=C4)=C4SC5=C(C3=CC([N+]([O-])=O)=C5)OCCCCCCCC,104,-4258.848719227213,-6368.194478129354,-181.252670255698,-2109.345758902141,2109.345758902141,4077.5960489715153,4077.5960489715153,1968.2502900693744,True,False,False,delta_energy_per_atom,robust,-39.2076543170338,-59.48982507570823,20.282170758674432,20.282170758674432,0.49528543931937036,8
126,Group 10,Group 10/123.log,Group 10,123.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCOC6=CC(C7=NC=CC=C7)=NC(C8=CC=CC=N8)=C6)=C4OCCCCCCCCCCCC)=C3OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C1)(C)C,254,-6406.61373609069,-8391.413773392924,-346.152662240135,-1984.8000373022342,1984.8000373022342,6060.461073850554,6060.461073850554,4075.66103654832,True,False,False,delta_energy_per_atom,robust,-23.86008296791557,-31.674256343121215,7.814173375205645,7.814173375205646,0.3098048546485744,9
10,Group 1,Group 1/11.log,Group 1,11.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(S(=O)([O-])=O)=CC(SC1=C5)=C4O)=CC(S(=O)([O-])=O)=C3)=CC(S(=O)([O-])=O)=C2)O)C=C5S(=O)([O-])=O.[Na+].[Na+].[Na+].[Na+],64,-5953.872400922572,-4418.026197746945,-150.116704258939,1535.8462031756262,1535.8462031756262,5803.755696663633,5803.755696663633,4267.909493488007,True,False,False,delta_energy_per_atom,robust,-90.68368276036927,-66.6860858357501,23.99759692461916,23.99759692461916,0.25795752742955363,10
120,Group 10,Group 10/117.log,Group 10,117.log,CC(C1=CC2=C(OCCCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,268,-7487.241250320296,-8958.100679239695,-400.946362785745,-1470.8594289193989,1470.8594289193989,7086.294887534551,7086.294887534551,5615.435458615152,True,False,False,delta_energy_per_atom,robust,-26.441398834084147,-31.92968028527593,5.4882814511917815,5.488281451191787,0.19644878263466034,11
