model,target,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean
KernelRidge,HOMO,0.13415914265634646,0.04267694396189353,0.20533959650979255,0.0817381635829646,0.5106793081827582,0.21914059970106026,0.08285847841186905,0.316020576239187,0.39130008555336576
RandomForest,HOMO,0.13908132079790075,0.048436059595033235,0.21102378151273002,0.08258683053851984,0.40261463288064736,0.5050673064107248,0.08612264468481542,0.30816742788268137,0.40428540149977515
XGBoost,HOMO,0.14320972890923558,0.04236195307962642,0.2138067887347595,0.07602538240595672,0.40997527557382524,0.4213026738462359,0.0918380204813641,0.31486383866282175,0.4103050586260478
Ridge,HOMO,0.14908660286591957,0.06026018319932752,0.20706969630810212,0.08522844133832021,0.5064310571002706,0.22813760605684985,0.10896311547922928,0.30987360796961144,0.38815100453161716
ElasticNet,HOMO,0.15186404376469184,0.054130610675761144,0.2113029348479384,0.08172269506447499,0.48450177427608077,0.23175668202268465,0.11103194043998225,0.31450009028627707,0.4003846468150109
LinearRegression,HOMO,0.16264890185814335,0.08852541954543046,0.2211636889455383,0.10599483119289983,0.4386542103486561,0.28327089698100444,0.12469760997802387,0.31862498573933673,0.4195073998800695
Ridge,LUMO,0.17059878579846544,0.06034629769143498,0.2848631906618669,0.15134585451588214,0.8020367908611019,0.13124502221488568,0.11863491294248574,0.32568967140599037,0.40356220835850165
KernelRidge,LUMO,0.1729472974449834,0.07347980582444127,0.29349456613498115,0.1667632018647594,0.7928644483934517,0.1397110734086899,0.11281001715487896,0.34380377580967186,0.437969013374267
RandomForest,LUMO,0.1757541172127808,0.07974472670390158,0.29489726041054276,0.1704813993035859,0.7876159827267911,0.14927301529173595,0.12197484060249478,0.32325526148738226,0.41901905468755113
ElasticNet,LUMO,0.17842720636765358,0.06430412729837424,0.2938873122955991,0.15865464193621467,0.7908202428588754,0.14360986260977746,0.1217041975608131,0.34059474695964337,0.42301727576340314
LinearRegression,LUMO,0.1852912489009261,0.0689254119993646,0.29737162848187687,0.15502139765305467,0.784171549694044,0.12870714118290164,0.12318144802880798,0.3512004132637444,0.4452569152165421
XGBoost,LUMO,0.18594549276362127,0.09058823836344652,0.3064080546116992,0.17389575116295922,0.772666299216659,0.15726351935416866,0.1348198372355143,0.33617859912740083,0.4294589191473389
