model,target,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,n_outer_folds
KernelRidge,HOMO,0.13415914265634646,0.04267694396189353,0.20533959650979255,0.0817381635829646,0.5106793081827582,0.21914059970106026,0.08285847841186905,0.316020576239187,0.39130008555336576,15
RandomForest,HOMO,0.13908132079790075,0.048436059595033235,0.21102378151273002,0.08258683053851984,0.40261463288064736,0.5050673064107248,0.08612264468481542,0.30816742788268137,0.40428540149977515,15
XGBoost,HOMO,0.14320972890923558,0.04236195307962642,0.2138067887347595,0.07602538240595672,0.40997527557382524,0.4213026738462359,0.0918380204813641,0.31486383866282175,0.4103050586260478,15
Ridge,HOMO,0.14908660286591957,0.06026018319932752,0.20706969630810212,0.08522844133832021,0.5064310571002706,0.22813760605684985,0.10896311547922928,0.30987360796961144,0.38815100453161716,15
ElasticNet,HOMO,0.15186404376469184,0.054130610675761144,0.2113029348479384,0.08172269506447499,0.48450177427608077,0.23175668202268465,0.11103194043998225,0.31450009028627707,0.4003846468150109,15
LinearRegression,HOMO,0.16264890185814335,0.08852541954543046,0.2211636889455383,0.10599483119289983,0.4386542103486561,0.28327089698100444,0.12469760997802387,0.31862498573933673,0.4195073998800695,15
Ridge,LUMO,0.17059878579846544,0.06034629769143498,0.2848631906618669,0.15134585451588214,0.8020367908611019,0.13124502221488568,0.11863491294248574,0.32568967140599037,0.40356220835850165,15
KernelRidge,LUMO,0.1729472974449834,0.07347980582444127,0.29349456613498115,0.1667632018647594,0.7928644483934517,0.1397110734086899,0.11281001715487896,0.34380377580967186,0.437969013374267,15
RandomForest,LUMO,0.1757541172127808,0.07974472670390158,0.29489726041054276,0.1704813993035859,0.7876159827267911,0.14927301529173595,0.12197484060249478,0.32325526148738226,0.41901905468755113,15
ElasticNet,LUMO,0.17842720636765358,0.06430412729837424,0.2938873122955991,0.15865464193621467,0.7908202428588754,0.14360986260977746,0.1217041975608131,0.34059474695964337,0.42301727576340314,15
LinearRegression,LUMO,0.1852912489009261,0.0689254119993646,0.29737162848187687,0.15502139765305467,0.784171549694044,0.12870714118290164,0.12318144802880798,0.3512004132637444,0.4452569152165421,15
XGBoost,LUMO,0.18594549276362127,0.09058823836344652,0.3064080546116992,0.17389575116295922,0.772666299216659,0.15726351935416866,0.1348198372355143,0.33617859912740083,0.4294589191473389,15
KernelRidge,delta_homo,0.1341591426563465,0.04267694396189357,0.20533959650979255,0.08173816358296458,-0.2574870234800331,0.5420120628237705,0.08285847841186907,0.31602057623918706,0.39130008555336576,15
RandomForest,delta_homo,0.13908132079790075,0.04843605959503326,0.21102378151273,0.08258683053851984,-0.3636577332587683,0.6698639853594134,0.08612264468481538,0.3081674278826813,0.4042854014997751,15
XGBoost,delta_homo,0.14320972890923558,0.04236195307962642,0.2138067887347595,0.0760253824059567,-0.3983894121627563,0.5615098126364806,0.0918380204813641,0.31486383866282175,0.4103050586260478,15
Ridge,delta_homo,0.14908660286591963,0.0602601831993275,0.20706969630810212,0.0852284413383202,-0.258824358119052,0.4719452455337192,0.1089631154792292,0.3098736079696114,0.38815100453161705,15
ElasticNet,delta_homo,0.15186404376469184,0.05413061067576115,0.21130293484793838,0.08172269506447497,-0.3214025960415048,0.4764995845322887,0.1110319404399822,0.3145000902862771,0.4003846468150108,15
LinearRegression,delta_homo,0.16264890185814335,0.08852541954543047,0.2211636889455383,0.10599483119289982,-0.40929072319936405,0.6483814280947863,0.12469760997802402,0.3186249857393367,0.4195073998800695,15
Ridge,delta_lumo,0.17059878579846546,0.06034629769143499,0.28486319066186694,0.15134585451588217,-0.11994040508754417,0.34147343767246746,0.11863491294248579,0.32568967140599053,0.4035622083585017,15
KernelRidge,delta_lumo,0.1729472974449834,0.07347980582444129,0.29349456613498115,0.1667632018647594,-0.17692239279106328,0.5461534925975231,0.11281001715487896,0.34380377580967203,0.43796901337426697,15
RandomForest,delta_lumo,0.1757541172127808,0.07974472670390159,0.29489726041054276,0.17048139930358597,-0.18920234020726479,0.5863859826565493,0.12197484060249492,0.32325526148738243,0.419019054687551,15
ElasticNet,delta_lumo,0.1784272063676536,0.06430412729837424,0.2938873122955991,0.15865464193621467,-0.17304500594541247,0.2908640948937077,0.12170419756081317,0.34059474695964337,0.42301727576340314,15
LinearRegression,delta_lumo,0.18529124890092613,0.0689254119993646,0.29737162848187676,0.15502139765305464,-0.260954750019802,0.46502984044649165,0.1231814480288081,0.3512004132637444,0.445256915216542,15
XGBoost,delta_lumo,0.18594549276362127,0.09058823836344657,0.3064080546116992,0.17389575116295922,-0.31311728964662244,0.7560471827349945,0.13481983723551438,0.33617859912740106,0.42945891914733886,15
