Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_HOMO,Predicted_HOMO,Baseline_HOMO_xTB,Residual_HOMO,Abs_Error_HOMO,Baseline_Residual_HOMO_xTB,Baseline_Abs_Error_HOMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
64,Group 6,Group 6/61.log,Group 6,61.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4OCCCBr)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)OCCCBr)C=C5[N+]([O-])=O,74,-6.948193,-7.410605366890124,-11.0806,-0.4624123668901241,0.4624123668901241,-4.132407000000001,4.132407000000001,3.6699946331098765,True,True,True,1
101,Group 9,Group 9/98.log,Group 9,98.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=CC=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=CC=C9)=NN8)=C7OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C6OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1,184,-5.484105,-5.912426745113249,-9.855,-0.4283217451132497,0.4283217451132497,-4.370895000000001,4.370895000000001,3.942573254886751,True,True,True,2
72,Group 7,Group 7/69.log,Group 7,69.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9,104,-7.233718,-6.888279196590933,-10.4602,0.34543880340906696,0.34543880340906696,-3.2264820000000007,3.2264820000000007,2.8810431965909338,True,True,True,3
132,Group 11,Group 11/130.log,Group 11,130.log,CC(C1=CC2=C(OCCCCC3=CN(CCOC(C(SC(C=C4C(C)(C)C)=C5O)=C6)=C(C=C6C(C)(C)C)SC7=C(O)C(SC(C=C(C=C8SC5=C4)C(C)(C)C)=C8O)=CC(C(C)(C)C)=C7)N=N3)C(SC9=CC(C(C)(C)C)=CC(SC%10=CC(C(C)(C)C)=CC(SC%11=CC(C(C)(C)C)=CC(S2)=C%11OCCCCC%12=CN(CCOC%13=C(SC%14=C%15)C=C(C(C)(C)C)C=C%13SC%16=CC(C(C)(C)C)=CC(SC%17=CC(C(C)(C)C)=CC(SC(C=C%15C(C)(C)C)=C%14O)=C%17O)=C%16O)N=N%12)=C%10OCCCCC%18=CN(CCOC%19=C(C=C(C=C%19SC%20=C%21)C(C)(C)C)SC%22=CC(C(C)(C)C)=CC(SC%23=C(O)C(SC(C=C%21C(C)(C)C)=C%20O)=CC(C(C)(C)C)=C%23)=C%22O)N=N%18)=C9OCCCCC%24=CN(CCOC%25=C(SC(C=C%26C(C)(C)C)=C%27O)C=C(C(C)(C)C)C=C%25SC%28=C(O)C(SC%29=CC(C(C)(C)C)=CC(SC%27=C%26)=C%29O)=CC(C(C)(C)C)=C%28)N=N%24)=C1)(C)C,568,-5.885603,-5.605778124944577,-9.3586,0.2798248750554224,0.2798248750554224,-3.4729969999999994,3.4729969999999994,3.193172124944577,True,True,False,4
24,Group 3,Group 3/25.log,Group 3,25.log,OC(C(SC1=CC([N+]([O-])=O)=CC(SC2=CC([N+]([O-])=O)=CC(S3)=C2O)=C1OCCCCCCCC)=CC([N+]([O-])=O)=C4)=C4SC5=C(C3=CC([N+]([O-])=O)=C5)OCCCCCCCC,104,-7.16784,-7.434714683827339,-11.1551,-0.26687468382733925,0.26687468382733925,-3.987259999999999,3.987259999999999,3.72038531617266,True,True,False,5
106,Group 9,Group 9/103.log,Group 9,103.log,C1(C2)=C(C(CC(C=CC=C3CC4=C(OCC5=CC(C6=CC=CC=C6)=NN5)C(CC7=CC=CC2=C7OCC8=CC(C9=CC=CC=C9)=NN8)=CC=C4)=C3OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=CC=C1)OCC%12=CC(C%13=CC=CC=C%13)=NN%12,136,-5.972678,-6.217215402748579,-10.0888,-0.2445374027485787,0.2445374027485787,-4.116122000000001,4.116122000000001,3.871584597251422,True,True,False,6
122,Group 10,Group 10/119.log,Group 10,119.log,CCCCCCCCOC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,54,-6.539375,-6.330419485976474,-9.7634,0.20895551402352552,0.20895551402352552,-3.224025000000001,3.224025000000001,3.0150694859764755,True,False,False,7
62,Group 6,Group 6/59.log,Group 6,59.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCBr)C=C5C(C)(C)C,122,-5.727671,-5.93308725833181,-9.7845,-0.20541625833180976,0.20541625833180976,-4.056829,4.056829,3.85141274166819,True,False,False,8
114,Group 10,Group 10/111.log,Group 10,111.log,C#CC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,31,-6.742913,-6.546565358322612,-9.8456,0.19634764167738794,0.19634764167738794,-3.1026869999999995,3.1026869999999995,2.9063393583226116,True,False,False,9
16,Group 3,Group 3/17.log,Group 3,17.log,CC(C1=CC2=C(OCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCC)=C4OCCC)=C3OCCC)=C1)(C)C,132,-5.98993,-5.820709369700548,-9.4967,0.1692206302994519,0.1692206302994519,-3.5067700000000004,3.5067700000000004,3.3375493697005485,True,False,False,10
199,Group 15,Group 15/199.log,Group 15,199.log,CC(C)(C)C1=CC(CC2=C3)=C(OCO)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC(O)=O)=C5OCC(O)=O)=C4OCC(O)=O)=C1.O=[C],128,-6.154176,-6.008904404818189,-9.8308,0.14527159518181065,0.14527159518181065,-3.6766240000000003,3.6766240000000003,3.5313524048181897,True,False,False,11
135,Group 11,Group 11/133.log,Group 11,133.log,CC(C1=CC(SC2=C(O)C(SC(C=C(C=C3SC4=C5)C(C)(C)C)=C3O)=CC(C(C)(C)C)=C2)=C(OCCC6=CN(N=N6)CCOC(C(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S9)=C8OCCN%10C=C(CCOC%11=C(C=C(C=C%11SC%12=C%13)C(C)(C)C)SC%14=CC(C(C)(C)C)=CC(SC%15=C(O)C(SC(C=C%13C(C)(C)C)=C%12O)=CC(C(C)(C)C)=C%15)=C%14O)N=N%10)=C7OCCN%16C=C(CCOC%17=C(SC(C=C%18C(C)(C)C)=C%19O)C=C(C(C)(C)C)C=C%17SC%20=C(O)C(SC%21=CC(C(C)(C)C)=CC(SC%19=C%18)=C%21O)=CC(C(C)(C)C)=C%20)N=N%16)=CC(C(C)(C)C)=C%22)=C%22SC%23=C(C9=CC(C(C)(C)C)=C%23)OCCN%24N=NC(CCOC%25=C(SC%26=C%27)C=C(C(C)(C)C)C=C%25SC%28=CC(C(C)(C)C)=CC(SC%29=CC(C(C)(C)C)=CC(SC(C=C%27C(C)(C)C)=C%26O)=C%29O)=C%28O)=C%24)C(SC(C=C5C(C)(C)C)=C4O)=C1)(C)C,544,-5.657167,-5.512350376108617,-9.2602,0.1448166238913835,0.1448166238913835,-3.603032999999999,3.603032999999999,3.4582163761086155,True,False,False,12
154,Group 12,Group 12/153.log,Group 12,153.log,CC(C1=CC2=C(OCCC3=CN(C4=CC(C5=NC=CC=C5)=NC(C6=CC=CC=N6)=C4)N=N3)C(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(SC9=CC(C(C)(C)C)=CC(S2)=C9OCCC%10=CN(C%11=CC(C%12=NC=CC=C%12)=NC(C%13=CC=CC=N%13)=C%11)N=N%10)=C8OCCC%14=CN(C%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)N=N%14)=C7OCCC%18=CN(C%19=CC(C%20=NC=CC=C%20)=NC(C%21=CC=CC=N%21)=C%19)N=N%18)=C1)(C)C,252,-5.541547,-5.681572485422366,-9.3801,-0.1400254854223668,0.1400254854223668,-3.838553000000001,3.838553000000001,3.698527514577634,True,False,False,13
14,Group 2,Group 2/15.log,Group 2,15.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OS(C(F)(F)F)(=O)=O)C=CC=C1SC5=C(OS(=O)(C(F)(F)F)=O)C4=CC=C5,60,-6.335211,-6.473602685687612,-10.3133,-0.13839168568761195,0.13839168568761195,-3.9780889999999998,3.9780889999999998,3.839697314312388,True,False,False,14
