Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_Final_Energy,Predicted_Final_Energy,Baseline_Final_Energy_xTB,Residual_Final_Energy,Abs_Error_Final_Energy,Baseline_Residual_Final_Energy_xTB,Baseline_Abs_Error_Final_Energy_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Selected_Energy_Target_Mode,Selected_Energy_Weight_Scheme,Calculated_Selected_Energy_Target,Predicted_Selected_Energy_Target,Abs_Error_Selected_Energy_Target,Abs_Error_Final_Energy_per_atom,Relative_Abs_Error_Final_Energy,Error_Rank
14,Group 2,Group 2/15.log,Group 2,15.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OS(C(F)(F)F)(=O)=O)C=CC=C1SC5=C(OS(=O)(C(F)(F)F)=O)C4=CC=C5,60,-4583.596647008348,-11927.933699417086,-143.2144891,-7344.337052408739,7344.337052408739,4440.382157908348,4440.382157908348,-2903.9548945003908,False,True,True,delta_energy,none,-4440.382157908348,-11784.719210317086,7344.337052408738,122.40561754014564,1.6023087583821902,1
24,Group 3,Group 3/25.log,Group 3,25.log,OC(C(SC1=CC([N+]([O-])=O)=CC(SC2=CC([N+]([O-])=O)=CC(S3)=C2O)=C1OCCCCCCCC)=CC([N+]([O-])=O)=C4)=C4SC5=C(C3=CC([N+]([O-])=O)=C5)OCCCCCCCC,104,-4258.848719227213,-11181.812893897153,-181.2526703,-6922.96417466994,6922.96417466994,4077.5960489272134,4077.5960489272134,-2845.3681257427265,False,True,True,delta_energy,none,-4077.5960489272134,-11000.560223597153,6922.96417466994,66.56696321798019,1.6255482716253624,2
72,Group 7,Group 7/69.log,Group 7,69.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9,104,-4990.81572719951,-11520.93754693155,-213.3451406,-6530.1218197320395,6530.1218197320395,4777.470586599509,4777.470586599509,-1752.6512331325303,False,True,True,delta_energy,none,-4777.470586599509,-11307.592406331549,6530.1218197320395,62.789632882038845,1.308427755432917,3
89,Group 8,Group 8/86.log,Group 8,86.log,CC(C1=CC2=C(OCCCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCN=[N+]=[N-])=C4OCCCCN=[N+]=[N-])=C3OCCCCN=[N+]=[N-])=C1)(C)C,152,-4723.416121918299,-9719.141263909862,-222.8854577,-4995.725141991563,4995.725141991563,4500.530664218299,4500.530664218299,-495.1944777732642,False,True,True,delta_energy,none,-4500.530664218299,-9496.255806209861,4995.725141991563,32.86661277626028,1.0576508639158593,4
5,Group 1,Group 1/6.log,Group 1,6.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4O)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)O)C=C5[N+]([O-])=O,56,-3631.244942365536,-8625.238842851053,-130.6135339,-4993.993900485517,4993.993900485517,3500.631408465536,3500.631408465536,-1493.362492019981,False,True,True,delta_energy,none,-3500.631408465536,-8494.625308951054,4993.993900485518,89.17846250866994,1.375284228889963,5
110,Group 9,Group 9/107.log,Group 9,107.log,CC(C1=CC2=C(OCCCCC3=CC(C4=CC=CC=C4)=NN3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCCCCC8=CC(C9=CC=CC=C9)=NN8)=C6OCCCCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCCCCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C,212,-5891.283958023176,-10374.380869851246,-302.7479246,-4483.09691182807,4483.09691182807,5588.5360334231755,5588.5360334231755,1105.4391215951055,True,True,True,delta_energy,none,-5588.5360334231755,-10071.632945251245,4483.09691182807,21.146683546358823,0.7609711132180372,6
108,Group 9,Group 9/105.log,Group 9,105.log,CC(C1=CC2=C(OCC3=CC(C4=CC=CC=C4)=NN3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCC8=CC(C9=CC=CC=C9)=NN8)=C6OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C,176,-5420.392644703643,-8283.761068685386,-264.8109572,-2863.368423981743,2863.368423981743,5155.581687503643,5155.581687503643,2292.2132635218995,True,False,True,delta_energy,none,-5155.581687503643,-8018.9501114853865,2863.368423981744,16.26913877262354,0.5282584882064413,7
62,Group 6,Group 6/59.log,Group 6,59.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCBr)C=C5C(C)(C)C,122,-7389.027072310322,-4611.909293899532,-165.2832865,2777.1177784107904,2777.1177784107904,7223.743785810322,7223.743785810322,4446.626007399532,True,False,True,delta_energy,none,-7223.743785810322,-4446.626007399532,2777.1177784107904,22.76326047877697,0.3758434975578879,8
45,Group 4,Group 4/42.log,Group 4,42.log,CC(C1=CC2=C(OCCCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C,148,-2782.56427778373,-5476.135443547306,-193.9454084,-2693.5711657635757,2693.5711657635757,2588.6188693837303,2588.6188693837303,-104.9522963798454,False,False,True,delta_energy,none,-2588.6188693837303,-5282.190035147306,2693.5711657635757,18.199805174078215,0.9680175898395719,9
0,Group 1,Group 1/1.log,Group 1,1.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4O)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,104,-2007.777943398343,-3817.2344224339586,-139.1776126,-1809.4564790356155,1809.4564790356155,1868.600330798343,1868.600330798343,59.143851762727536,True,False,False,delta_energy,none,-1868.600330798343,-3678.0568098339586,1809.4564790356155,17.398619990727074,0.9012234071881162,10
