split_level,repeat_id,split_id,outer_fold,inner_fold,target_name,n_train_samples,n_valid_samples,n_train_groups,n_valid_groups,n_overlap_groups,overlap_groups
outer_cv,1,1,1,,,177,46,14,3,0,
outer_cv,1,2,2,,,177,46,13,4,0,
outer_cv,1,3,3,,,180,43,14,3,0,
outer_cv,1,4,4,,,178,45,13,4,0,
outer_cv,1,5,5,,,180,43,14,3,0,
outer_cv,2,1,6,,,177,46,14,3,0,
outer_cv,2,2,7,,,177,46,13,4,0,
outer_cv,2,3,8,,,180,43,14,3,0,
outer_cv,2,4,9,,,178,45,13,4,0,
outer_cv,2,5,10,,,180,43,14,3,0,
outer_cv,3,1,11,,,177,46,14,3,0,
outer_cv,3,2,12,,,177,46,13,4,0,
outer_cv,3,3,13,,,180,43,14,3,0,
outer_cv,3,4,14,,,178,45,13,4,0,
outer_cv,3,5,15,,,180,43,14,3,0,
