group_id,test,train,total,train_fraction,test_fraction
Group 1,2,9,11,0.8181818181818182,0.18181818181818182
Group 10,3,10,13,0.7692307692307693,0.23076923076923078
Group 11,5,19,24,0.7916666666666666,0.20833333333333334
Group 12,2,8,10,0.8,0.2
Group 13,5,18,23,0.782608695652174,0.21739130434782608
Group 14,3,14,17,0.8235294117647058,0.17647058823529413
Group 15,2,8,10,0.8,0.2
Group 16,2,8,10,0.8,0.2
Group 17,1,1,2,0.5,0.5
Group 18,1,3,4,0.75,0.25
Group 19,4,16,20,0.8,0.2
Group 2,1,3,4,0.75,0.25
Group 20,1,4,5,0.8,0.2
Group 21,1,5,6,0.8333333333333334,0.16666666666666666
Group 22,2,6,8,0.75,0.25
Group 3,2,9,11,0.8181818181818182,0.18181818181818182
Group 4,6,26,32,0.8125,0.1875
Group 5,1,2,3,0.6666666666666666,0.3333333333333333
Group 6,2,8,10,0.8,0.2
Group 7,2,6,8,0.75,0.25
Group 8,3,12,15,0.8,0.2
Group 9,4,16,20,0.8,0.2
