row_index,sample_id,group_id,Folder,File,SMILES,subset
1,Group 1/2.log,Group 1,Group 1,2.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(Br)=CC(CC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,train
2,Group 1/3.log,Group 1,Group 1,3.log,OC1=C(CC2=CC(C(C)(C)C)=CC3=C2O)C=C(C(C)(C)C)C=C1CC4=C(O)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC8=CC(C(C)(C)C)=CC(CC(C=C(C(C)(C)C)C=C9C3)=C9O)=C8O)=C7O)=C6O)=C5O)=CC(C(C)(C)C)=C4,train
3,Group 1/4.log,Group 1,Group 1,4.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4O)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,train
4,Group 1/5.log,Group 1,Group 1,5.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O)C=CC=C1SC5=C(O)C4=CC=C5,train
6,Group 1/7.log,Group 1,Group 1,7.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([NH3+])=CC(SC1=C5)=C4O)=CC([NH3])=C3)=CC([NH3])=C2)O)C=C5[NH3].Cl[Sn-](Cl)(Cl)(Cl)Cl.Cl[Sn-](Cl)(Cl)([Cl+])Cl.Cl[Sn](Cl)(Cl)(Cl)Cl.Cl[Sn](Cl)(Cl)(Cl)Cl,train
7,Group 1/8.log,Group 1,Group 1,8.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CBr)=CC(SC1=C5)=C4O)=CC(CBr)=C3)=CC(CBr)=C2)O)C=C5CBr,train
8,Group 1/9.log,Group 1,Group 1,9.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CCl)=CC(SC1=C5)=C4O)=CC(CCl)=C3)=CC(CCl)=C2)O)C=C5CCl,train
9,Group 1/10.log,Group 1,Group 1,10.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,train
10,Group 1/11.log,Group 1,Group 1,11.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(S(=O)([O-])=O)=CC(SC1=C5)=C4O)=CC(S(=O)([O-])=O)=C3)=CC(S(=O)([O-])=O)=C2)O)C=C5S(=O)([O-])=O.[Na+].[Na+].[Na+].[Na+],train
11,Group 2/12.log,Group 2,Group 2,12.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4O[Si](C)(C(C)(C)C)C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O[Si](C)(C)C(C)(C)C)C=C5C(C)(C)C,train
12,Group 2/13.log,Group 2,Group 2,13.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O[Si](C)(C)C(C)(C)C)C=CC=C1SC5=C(O[Si](C)(C(C)(C)C)C)C4=CC=C5,train
13,Group 2/14.log,Group 2,Group 2,14.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O[Si](C)(C(C)(C)C)C)=CC(Br)=C3)=CC(Br)=C2)O[Si](C)(C)C(C)(C)C)C=C5Br,train
15,Group 3/16.log,Group 3,Group 3,16.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OC)C=C5C(C)(C)C,train
17,Group 3/18.log,Group 3,Group 3,18.log,BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCCCC)C(SC4=CC(Br)=CC(SC5=C1)=C4OCCCC)=CC(Br)=C3)=C2OCCCC)=C5OCCCC,train
18,Group 3/19.log,Group 3,Group 3,19.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCCCCCCCCC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCCCCCCCCC)C=C5C(C)(C)C,train
19,Group 3/20.log,Group 3,Group 3,20.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5,train
20,Group 3/21.log,Group 3,Group 3,21.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCC)C4=CC=C5,train
21,Group 3/22.log,Group 3,Group 3,22.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC([N+]([O-])=O)=C3)=CC=C2)OCCCCCCCCCCCC)C=C([N+]([O-])=O)C=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5,train
22,Group 3/23.log,Group 3,Group 3,23.log,ClC1=CC(CC2=C3)=C(OCCCCCCCCCCCC)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(Cl)=CC(CC(C=C3C(C)(C)C)=C2OCCCC)=C5OCCCCCCCCCCCC)=C4OCCCC)=C1,train
23,Group 3/24.log,Group 3,Group 3,24.log,BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(O[Si](C)(C)C(C)(C)C)C(SC5=CC(Br)=CC2=C5O)=CC(Br)=C4)=C3OCCCCCCCCCCCC)=C1O[Si](C)(C)C(C)(C)C,train
25,Group 3/26.log,Group 3,Group 3,26.log,OC1=C2C=CC=C1SC3=CC=CC(SC4=C(C(SC(C=CC=C5S2)=C5OCCCCCCCCCCCC)=CC=C4)OCCCCCCCCCCCC)=C3OCCCCCCCCCCCC,train
26,Group 4/27.log,Group 4,Group 4,27.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC#C)=C5OCC#C)=C4OCC#C)=C1,train
27,Group 4/28.log,Group 4,Group 4,28.log,CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC#C)=CC(C(C)(C)C)=C2)OCC#C)=C(OCC#C)C(CC5=CC(C(C)(C)C)=CC4=C5OCC#C)=C1)C,train
28,Group 4/29.log,Group 4,Group 4,29.log,CC(C1=CC2=C(OCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCC#C)=C4OCC#C)=C3OCC#C)=C1)(C)C,train
29,Group 4/30.log,Group 4,Group 4,30.log,C#CCOC1=C2C=CC=C1CC3=CC=CC(CC4=CC=CC(CC(C=CC=C5C2)=C5OCC#C)=C4OCC#C)=C3OCC#C,train
31,Group 4/32.log,Group 4,Group 4,32.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCC=C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC=C)C=C5C(C)(C)C,train
32,Group 4/33.log,Group 4,Group 4,33.log,OC1=C(CC2=C(C(CC3=C(O)C(C4)=CC=C3)=CC=C2)OCC=C)C=CC=C1CC5=C(OCC=C)C4=CC=C5,train
34,Group 4/35.log,Group 4,Group 4,35.log,CC(C1=CC2=C(OCC=C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCC=C)=C4OCC=C)=C3OCC=C)=C1)(C)C,train
35,Group 4/36.log,Group 4,Group 4,36.log,CC(C1=CC2=C(OCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCC#C)=C4OCC#C)=C3OCC#C)=C1)(C)C,train
36,Group 4/36_iso.log,Group 4,Group 4,36_iso.log,CC(C)(C1=CC(SC2=C(C(SC(C=C(C=C3S4)C(C)(C)C)=C3OCC#C)=CC(C(C)(C)C)=C2)OCC#C)=C(OCC#C)C(SC5=CC(C(C)(C)C)=CC4=C5OCC#C)=C1)C,train
37,Group 4/37_iso.log,Group 4,Group 4,37_iso.log,C#CCOC1=C(SC2=CC=CC(S3)=C2OCC#C)C=CC=C1SC4=C(OCC#C)C(SC5=CC=CC3=C5OCC#C)=CC=C4,train
38,Group 4/37.log,Group 4,Group 4,37.log,C#CCOC1=C(S2)C=CC=C1SC(C=CC=C3SC4=C(OCC#C)C(SC5=CC=CC2=C5OCC#C)=CC=C4)=C3OCC#C,train
39,Group 4/38.log,Group 4,Group 4,38.log,BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCC#C)C(SC4=CC(Br)=CC(SC5=C1)=C4OCC#C)=CC(Br)=C3)=C2OCC#C)=C5OCC#C,train
40,Group 4/38_iso.log,Group 4,Group 4,38_iso.log,BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(OCC#C)C(SC5=CC(Br)=CC2=C5OCC#C)=CC(Br)=C4)=C3OCC#C)=C1OCC#C,train
41,Group 4/39.log,Group 4,Group 4,39.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC#C)C=C5C(C)(C)C,train
43,Group 4/40.log,Group 4,Group 4,40.log,CC(C)(C)C1=CC(CC2=C3)=C(OCCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCCC#C)=C5OCCC#C)=C4OCCC#C)=C1,train
44,Group 4/41.log,Group 4,Group 4,41.log,CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCCCC#C)=CC(C(C)(C)C)=C2)OCCCC#C)=C(OCCCC#C)C(CC5=CC(C(C)(C)C)=CC4=C5OCCCC#C)=C1)C,train
46,Group 4/43.log,Group 4,Group 4,43.log,CC(C)(C)C1=CC(CC2=C3)=C(OCCCCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCCCCC#C)=C5OCCCCC#C)=C4OCCCCC#C)=C1,train
47,Group 4/44.log,Group 4,Group 4,44.log,CC(C1=CC2=C(OCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC5=C4OCCC#CC(C(C=C6S5)=CC(S2)=C6OCCC#C)(C)C)=C3OCCC#C)=C1)(C)C,train
48,Group 4/45.log,Group 4,Group 4,45.log,CC(C1=CC2=C(OCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C,train
50,Group 4/47.log,Group 4,Group 4,47.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCC#C)C=C5C(C)(C)C,train
51,Group 4/48.log,Group 4,Group 4,48.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCC#C)C=C5C(C)(C)C,train
52,Group 4/49.log,Group 4,Group 4,49.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCC#C)C=C5C(C)(C)C,train
53,Group 4/50.log,Group 4,Group 4,50.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,train
54,Group 4/51.log,Group 4,Group 4,51.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,train
56,Group 4/53.log,Group 4,Group 4,53.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,train
57,Group 4/54.log,Group 4,Group 4,54.log,OC1=C(CC2=C(C(CC3=C(OCC#C)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C,train
58,Group 5/55.log,Group 5,Group 5,55.log,CC(C1=CC2=C(OCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC5=C4OCCC#CC(C(C=C6S5)=CC(S2)=C6OCCCCCCCCCCCC)(C)C)=C3OCCCCCCCCCCCC)=C1)(C)C,train
60,Group 5/57.log,Group 5,Group 5,57.log,CC(C1=CC2=C(OCCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCCCCCCC)=C4OCCCCC#C)=C3OCCCCCCCCCCCC)=C1)(C)C,train
61,Group 6/58.log,Group 6,Group 6,58.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCBr)C=C5C(C)(C)C,train
63,Group 6/60.log,Group 6,Group 6,60.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCBr)C=C5C(C)(C)C,train
65,Group 6/62.log,Group 6,Group 6,62.log,CC(C1=CC2=C(OCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCBr)=C4OCCCBr)=C3OCCCBr)=C1)(C)C,train
66,Group 6/63.log,Group 6,Group 6,63.log,CC(C1=CC2=C(OCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCBr)=C4OCCCCBr)=C3OCCCCBr)=C1)(C)C,train
67,Group 6/64.log,Group 6,Group 6,64.log,CC(C1=CC2=C(OCCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCBr)=C4OCCCCCBr)=C3OCCCCCBr)=C1)(C)C,train
